Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,1_Week,1_Month,3_Months,6_Months,1_Year,3_Years,5_Years
LOVABLE,222652,INE597L01014,2025-08-22,93.51,8799,2.263779527559063,-3.2888613093391172,-7.369985141158987,-0.5424377791959061,-49.20143415906128,-40.797720797720785,50.45856798069188
LOWVOL,310017,INF769K01JU9,2025-08-22,208.31,489,2.0727165817326485,1.6195911995707073,3.6161957819339485,10.048074383221518,0.44360866001254445,,
LOWVOL1,305732,INF174KA1IY5,2025-08-22,21.16,65920,1.1472275334607955,1.098901098901101,3.7763609612555147,9.865005192107988,0.7139457401237438,,
LOWVOLIETF,286801,INF109KC19U5,2025-08-22,22.39,1450358,2.4245196706312955,1.6341352700862435,3.946146703806878,10.132808657156923,0.5840071877807682,,
LOYALTEX,114036,INE970D01010,2025-08-22,301.4,502,-5.7683289041738455,-13.539873780837649,5.754385964912273,31.67321974661423,-48.73713751169318,-69.32939859570571,
LPDC,205947,INE197J01017,2025-08-22,7.89,20197,2.8683181225554075,-6.516587677725116,-8.041958041958045,-7.176470588235298,-23.32361516034985,14.34782608695651,484.44444444444434
LT,100510,INE018A01030,2025-08-22,3595.8,1060447,-2.20832200163176,3.182300783379727,-0.11389205255701294,8.467316219721887,-0.2966865381949208,91.56655390106818,261.69592113866116
LTF,220350,INE498L01015,2025-08-22,222.7,8534537,10.203879651623108,4.304248044588074,27.184466019417474,64.06365109768673,31.83755623964007,,
LTFOODS,132783,INE818H01020,2025-08-22,433.6,726704,-2.725743129556921,-11.092884970268601,4.9497761103715465,15.242524916943529,25.390399074609604,339.0886075949367,627.5167785234898
LTGILTBEES,286951,INF204KB1882,2025-08-22,28.6,7398874,-0.694444444444442,-1.1748445058742218,-1.1748445058742218,3.660746647335997,7.721280602636538,,
LTGILTCASE,313427,INF0R8F01133,2025-08-22,29.21,866,,,,,,,
LTIM,216156,INE214T01019,2025-08-22,5224.5,94919,2.2807361002349253,-1.3873159682899208,3.5415593166593964,-1.3966216853826554,-8.412804151181538,11.998370776882176,120.67115794808979
LTTS,268618,INE010V01017,2025-08-22,4274.2,26056,2.8985507246376723,-0.8950102021888416,-4.646960401561633,-16.570045480275624,-22.1216041397154,17.069296083264852,166.3799819263968
LT_1,312971,INE018A01030,2004-05-21,55.7611111111111,4852921,-2.0780487804877508,-16.148705096073535,-7.322253000923433,37.795167490389765,,,
LUMAXIND,117206,INE162B01018,2025-08-22,3832.4,6439,16.298971262100565,-0.8332039538373911,37.140812309894436,67.39391556924154,34.76571428571429,167.51361161524503,142.92596348884382
LUMAXTECH,132796,INE872H01027,2025-08-22,1142.2,100534,13.685677316611924,0.1139451310368967,72.05694057392483,104.11007862759114,112.1274027300585,361.12232539362134,944.5358939186102
