Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
LIBERTSHOE,126596,INE557B01019,2025-09-08,336.15,19225,6073994.5625,6.4102564102564115,8.680892337536362,-24.375703037120367,15.277777777777763,-32.16627989103017,-27.841579907695618,91.64766248574685,138.23529411764704,-2157.7398486540483,18.379447565730437
LICHSGFIN,100253,INE115A01026,2025-09-08,559.65,641290,362923646.475,-0.6656017039403621,-1.9190325972660436,-9.463722397476342,6.864617147221678,-11.48979914597501,-19.428448027641814,28.15433936340737,95.1700087183958,-893.9482316755427,26.734132674472765
LICI,217376,INE0J1Y01017,2025-09-08,876.55,484893,429567920.93249995,2.025257521969386,-3.987074867188793,-7.483244498390426,17.736736064472794,-5.595045772751755,-15.62710559245357,34.1726618705036,,-240.1359049351945,31.05636114690824
LICMFGOLD,227917,INF397L01554,2025-09-08,10004.85,5641,51948490.79250001,5.519139803091279,9.44489112777513,14.036177536644868,28.087492558523618,40.73696352459594,52.3968012185834,,,3636.057406456967,56.681135122478544
LICNETFGSC,272454,INF767K01MV5,2025-09-08,28.36,100902,2846344.518,1.0691375623663604,-0.03524850193867311,-0.03524850193867311,4.188096987509186,5.939484497571908,8.492731446059674,,,511.6077059827194,36.02599464293016
LICNETFN50,279126,INF767K01OS7,2025-09-08,277.65,342,93889.43100000001,1.8525311812178848,2.397197123363452,0.3107048665052772,12.245310478654577,2.34058238112789,1.8263835405434996,,,420.07937845134745,35.42091834333998
LICNETFSEN,279163,INF767K01OT5,2025-09-08,909.41,130,117586.10500000003,1.3688094256127845,1.3168595906817073,-0.7194323144104838,10.231515151515147,-1.6375534043588758,0.8539330826984209,,,176.2100005004129,33.80874444293376
LICNFNHGP,280472,INF767K01PC8,2025-09-08,277.82,856,235416.69199999998,1.3682635822964937,1.8289777517135248,-1.1844211275119987,4.267217113905049,0.9007045834241368,-0.08990541949868738,,,93.01019708968273,33.258726426302346
LICNMID100,313062,INF767K01RN1,2025-09-08,57.84,186956,10847374.076,-8.98505114083398,2.1366766731414457,-3.2128514056224815,18.306402127224388,-3.632122625791402,-1.330603889457513,,,184.07501848782687,33.860738575333954
LIKHITHA,297009,INE060901027,2025-09-08,246.44,71070,17985933.644999996,-0.7051049599097465,-9.81152790484904,-21.6282397837494,-4.77588871715611,-37.324516785350966,-42.57485727601072,35.686166551961456,,-2906.4657504084003,13.42976356887643
LINC,131241,INE802B01027,2025-09-08,135.31,6598,848882.1849999999,7.40593745038895,5.793588741204063,-7.232963115316064,31.727024922118385,-19.697329376854597,-14.360759493670885,82.60458839406209,238.38074398249458,-520.6927071895842,29.201653688446772
LINCOLN,131633,INE405C01035,2025-09-08,560.15,17737,9789804.122500002,3.0919296954081075,-0.3912154352271798,-3.1803647048656085,6.330675778283984,-39.03792784458835,-27.516821946169774,95.10623476140715,144.9814126394052,-2029.1836215191986,19.229308240583993
LINDEINDIA,123457,INE473A01011,2025-09-08,6494.0,12190,77498534.5,1.970636727643872,1.858677750764646,-10.99842390187076,6.264778315047092,-3.1432939334054213,-12.073926141556376,91.72460623237825,849.0683229813664,-504.13819734558257,29.31109239259554
LIQGRWBEES,313396,INF204KC1FU1,2025-09-08,1006.88,1475,1481987.0749999997,0.09244992295839256,0.38784035733157723,,,,,,,,
LIQUID,311422,INF769K01KS1,2025-09-08,999.99,108733,108731912.67000003,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,32.64385376996665
LIQUID1,309186,INF174KA1LV5,2025-09-08,1067.55,344289,366714264.015,0.09845288326300558,0.4100866260969253,1.2702056613796646,2.7003886558663885,4.28959399788988,6.002383080131062,,,386.7954131883985,35.200884403245425
LIQUIDADD,313084,INF740KA1UM0,2025-09-08,1089.74,551219,599354474.7845,0.09460737937558879,0.40355273826196925,1.2411973466619501,2.641047376848447,4.196586508581547,5.8637237949056615,,,378.15852694651534,35.14378759717269
LIQUIDBEES,219298,INF732E01037,2025-09-08,999.99,3076631,3076612540.2140007,0.0,-0.0009999999999990906,-0.0009999999999990906,-0.0009999999999990906,-0.0009999999999990906,-0.0009999999999990906,,,-0.09999999999990906,32.6431926890577
LIQUIDBETF,313108,INF0QA701854,2025-09-08,1046.99,263549,275313168.4875001,0.09656016367425677,0.43454904744546285,1.2376835977915037,2.627967613558398,4.182256010189457,4.699000000000001,,,353.56603021687124,34.98121129625912
LIQUIDCASE,313039,INF0R8F01034,2025-09-08,110.32,7946562,874749598.398,0.09980945467743348,0.4004368401892953,1.2481644640234943,2.6519028566111422,4.21311165690534,5.883482100009594,,,379.6914228903785,35.15392127961163
LIQUIDETF,288876,INF740KA1EU7,2025-09-08,1000.0,75722,75721697.112,0.0,0.0010000100000990915,0.0010000100000990915,0.0010000100000990915,0.0010000100000990915,0.0010000100000990915,,,0.10000100000990915,32.64451485748647
LIQUIDIETF,292583,INF109KC1KT9,2025-09-08,999.99,304888,304884951.1200001,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,32.64385376996665
LIQUIDPLUS,313230,INF769K01MY5,2025-09-08,1049.53,39709,41575620.81750001,0.11160288450532956,0.4248437933575151,1.2864311908897825,2.709817583966173,4.285572337042924,,,,,
LIQUIDSBI,312606,INF200KA13Z8,2025-09-08,1000.0,945,944995.2750000001,0.0,0.0,-0.0009999900000990894,0.0,0.0010000100000990915,0.0,,,0.015000650001486426,32.64395293640003
LIQUIDSHRI,313131,INF680P01422,2025-09-08,1069.52,6313,6737258.852,0.09171392741497915,0.3942477377689376,1.2160844918470202,2.5839743712712746,4.111829296783741,5.781004282591703,,,371.1522517234517,35.0974704492446
LLOYDSENGG,282112,INE093R01011,2025-09-08,64.68,3615265,242110681.78499997,-0.23137436372048661,-3.3472803347280253,1.5065913370998243,30.630360989631573,-8.11565437425285,-2.971691273421694,420.7949407938438,10038.14151412016,452.83661107701727,35.63747015452829
LLOYDSENT,313212,INE080I01025,2025-09-08,72.37,1883175,138074170.0031835,-0.23435346015991412,-5.4281710269578936,11.902865504300966,92.50232664714582,65.62935639313864,,,,,
LLOYDSME,112455,INE281B01032,2025-09-08,1302.9,231698,314786061.29,-1.8900602409638485,-6.955652360208517,-13.595065985808077,16.9306708548351,18.639592059734113,69.25175370226036,,,2283.565401762333,47.74006868438117
