Stock_Symbol,Sector
ESABINDIA,Electrodes & Welding Equipment
ESAFSFB,Unknown
ESCONET,Unknown
ESCORTS,Automobiles-Tractors
ESFL,Unknown
ESG,Finance - Stock Broking
ESILVER,Unknown
ESPRIT,Unknown
ESSARSHPNG,Unknown
ESSENTIA,Textile
ESTER,Laminates/Decoratives
ETERNAL,e-Commerce
ETHOSLTD,Unknown
ETL,Industrial  Gases & Fuels
ETML,Unknown
EUREKAFORB,Consumer Durables - Domestic Appliances
EUROBOND,Unknown
EUROTEXIND,Unknown
EVEREADY,Batteries
EVERESTIND,Cement & Construction Materials
EVIETF,Unknown
EVINDIA,Industrial  Gases & Fuels
EXCEL,Unknown
EXCELINDUS,Unknown
EXCELLENT,Unknown
EXICOM,Unknown
EXIDEIND,Batteries
EXPLEOSOL,Unknown
EXXARO,Unknown
FACT,Detergents & Soaps
FAIRCHEMOR,Pharmaceuticals & Drugs
FALCONTECH,Plastic Products
FAZE3Q,Unknown
FCL,Insurance
FCSSOFT,Unknown
FDC,Unknown
FEDERALBNK,Auto Ancillary
FEDFINA,Unknown
FEL,Electric Equipment
FELDVR,Unknown
FELIX,Unknown
FIBERWEB,Unknown
FIDEL,Finance - Others
FIEMIND,Unknown
FILATEX,Textile - Spinning
FILATFASH,Unknown
FINCABLES,Unknown
FINEORG,Unknown
FINIETF,Unknown
FINOPB,Unknown
FINPIPE,Unknown
FIRSTCRY,Unknown
FISCHER,Unknown
FIVESTAR,Unknown
FLAIR,Printing & Stationery
FLEXITUFF,Unknown
FLUOROCHEM,Chemicals
FLYSBS,Airlines
FMCGIETF,Unknown
FMGOETZE,Unknown
FMNL,Unknown
FOCUS,Business Support
FONEBOX,Retailing
FOODSIN,Unknown
FORCAS,Unknown
FORCEMOT,Automobiles-Trucks/Lcv
FORTIS,Unknown
FOSECOIND,Unknown
FRESHARA,Agriculture
FROG,Telecommunication - Equipment
FSL,Unknown
FUSION,Electrodes & Welding Equipment
FUSIONPP,Unknown
GABRIEL,Auto Ancillary
GAEL,Unknown
GAIL,Industrial  Gases & Fuels
GAJANAND,Unknown
GALAPREC,Finance Term Lending
GALAXYSURF,Household & Personal Products
GALLANTT,Steel & Iron Products
GANDHAR,Lubricants
GANDHITUBE,Unknown
GANECOS,Unknown
GANESHBE,Chemicals
GANESHHOUC,Unknown
GANESHIN,Unknown
GANGABATH,Unknown
GANGAFORGE,Unknown
GANGESSECU,Unknown
GARFIBRES,Unknown
GARUDA,Unknown
GATECH,Plastic Products
GATECHDVR,Plastic Products
GATEWAY,Logistics
GAYAHWS,Unknown
GAYAPROJ,Unknown
GCHOTELS,Unknown
GEECEE,Electrodes & Welding Equipment
GEEKAYWIRE,Electrodes & Welding Equipment
GENCON,Unknown
GENESYS,Unknown
GENUSPAPER,Unknown
GENUSPOWER,Unknown
GEOJITFSL,Unknown
GEPIL,Unknown
GESHIP,Shipping
GFLLIMITED,Unknown
GGBL,Unknown
GHCL,Chemicals
GHCLTEXTIL,Chemicals
GICHSGFIN,Unknown
GICL,Unknown
GICRE,Unknown
GILLANDERS,Unknown
GILLETTE,Unknown
GILT5YBEES,Unknown
GINNIFILA,Textile - Spinning
GIPCL,Unknown
GIRIRAJ,Unknown
GKWLIMITED,Unknown
GLAND,Unknown
GLAXO,Unknown
GLENMARK,Unknown
GLFL,Unknown
GLOBAL,Airlines
GLOBALE,Educational Institutions
GLOBALPET,Unknown
GLOBALVECT,Airlines
GLOBE,Airlines
GLOBECIVIL,Unknown
GLOBUSSPR,Unknown
GLOSTERLTD,Unknown
GMBREW,Unknown
GMDCLTD,Mining & Minerals
GMMPFAUDLR,Unknown
GMRAIRPORT,Airport Management Services
GMRP&UI,Unknown
GNA,Castings/Forgings
GNFC,Unknown
GOACARBON,Carbon Black
GOCLCORP,Unknown
GOCOLORS,Unknown
GODAVARIB,Unknown
GODFRYPHLP,Unknown
GODHA,Unknown
GODIGIT,Insurance
GODREJAGRO,Animal Feed
GODREJCP,Unknown
GODREJIND,Unknown
GODREJPROP,Construction - Real Estate
GOENKA,Diamond  &  Jewellery
GOKEX,Unknown
GOKUL,Edible Oil
GOKULAGRO,Edible Oil
GOLD1,Unknown
GOLD360,Unknown
GOLDBEES,Unknown
GOLDCASE,Unknown
GOLDENTOBC,Unknown
GOLDETF,Unknown
GOLDETFADD,Unknown
GOLDIAM,Unknown
GOLDIETF,Unknown
GOLDSHARE,Unknown
GOLDSTAR,Batteries
GOLDTECH,Plastic Products
GOODLUCK,Unknown
GOPAL,Trading
GOYALALUM,Unknown
GOYALSALT,Unknown
GPECO,Unknown
GPIL,Unknown
GPPL,Unknown
GPTHEALTH,Hospital & Healthcare Services
GPTINFRA,Unknown
GRANULES,Unknown
GRAPHISAD,Miscellaneous
GRAPHITE,Electrodes & Welding Equipment
GRASIM,Diversified
GRAVITA,Metal - Non Ferrous
GREAVESCOT,Diesel Engines
GREENCHEF,Consumer Durables - Domestic Appliances
GREENLAM,Laminates/Decoratives
GREENPANEL,Wood & Wood Products
GREENPLY,Wood & Wood Products
GREENPOWER,Unknown
GRINDWELL,Abrasives
GRINFRA,Engineering - Construction
GRMOVER,Unknown
GROBTEA,Unknown
GROWWDEFNC,Unknown
GROWWEV,Unknown
GROWWGOLD,Unknown
GROWWLIQID,Unknown
GROWWLOVOL,Unknown
GROWWMOM50,Unknown
GROWWN200,Unknown
GROWWNET,Unknown
GROWWNIFTY,Bank - Public
GROWWPOWER,Unknown
GROWWRAIL,Unknown
GROWWSLVR,Unknown
GRPLTD,Rubber  Products
GRSE,Unknown
GRWRHITECH,Plastic Products
GSEC10IETF,Unknown
GSEC10YEAR,Unknown
GSEC5IETF,Unknown
GSFC,Fertilizers
GSLSU,Unknown
GSMFOILS,Unknown
GSPL,Unknown
GSS,Bearings
GTECJAINX,Unknown
GTL,Telecommunication - Service  Provider
GTLINFRA,Telecom-Infrastructure
GTPL,TV Broadcasting & Software Production
GUFICBIO,Unknown
GUJALKALI,Unknown
GUJAPOLLO,Unknown
GUJGASLTD,Unknown
GUJRAFFIA,Unknown
GUJTHEM,Unknown
GULFOILLUB,Lubricants
GULFPETRO,Unknown
GULPOLY,Unknown
GVKPIL,Unknown
GVPTECH,Plastic Products
GVPTECHPP,Plastic Products
GVT&D,Unknown
HAL,BPO/ITeS
HAPPSTMNDS,Unknown
HAPPYFORGE,Unknown
HARDWYN,Aluminium & Aluminium Products
HARIOMPIPE,Unknown
HARRMALAYA,Unknown
