Symbol,Fincode,ISIN,Latest_Date,Latest_Close,Latest_Volume,Turnover,1_Week,1_Month,3_Months,6_Months,9_Months,1_Year,3_Years,5_Years,Raw_Score,Normalized_Score
BHAGERIA,130803,INE354C01027,12-09-2025,204.13,75726,13632800.33,2.613984819,16.87947323,9.594115752,35.58950515,0.196338291,-23.34297195,1.55721393,49,501.7898829,33.21646459
BHAGYANGR,112296,INE458B01036,12-09-2025,93.3,33395,2771862.922,2.866593164,2.708058124,20.57379168,25.99594868,-6.895519409,-6.709329067,77.20797721,418.3333333,727.1555701,34.68218833
BHANDARI,112608,INE474E01029,12-09-2025,4.91,324983,1793129.812,-2.964426877,-1.40562249,-11.69064748,1.6563147,-38.00505051,-29.75679542,-17.89249276,324.2221207,-2352.140023,14.65519707
BHARATFORG,100493,INE465A01025,12-09-2025,1223,1086138,1284921468,7.592152723,3.51248413,-6.591308333,17.68101997,-10.34381644,-23.13010685,55.39038181,163.9188606,-634.2368449,25.82802245
BHARATGEAR,105688,INE561C01019,12-09-2025,99.04,38548,3299910.106,3.220427306,12.23934723,9.183111013,32.9931516,-4.961136167,-7.989594946,-30.72511075,196.3476071,573.7757475,33.68464319
BHARATRAS,190021,INE838B01013,12-09-2025,10053,2575,26198170.88,0.249301955,-11.33356853,11.84913218,0.662371018,-6.977389759,-24.26690773,-15.64329019,8.671095089,-338.3104799,27.75265571
BHARATSE,313309,INE415D01024,12-09-2025,168.76,222449,,5.25790557,37.01388325,69.45476453,,,,,,9108.201872,89.19047958
BHARATWIRE,221577,INE316L01019,12-09-2025,167.28,178905,33685227.32,-2.670623145,-5.582209178,-19.94640123,-3.618345241,-27.54363928,-39.96770142,35.01210654,503.898917,-2434.396169,14.12022306
BHARTIARTL,132454,INE397D01024,12-09-2025,1902.6,3192824,5718299892,0.385163299,1.88497376,3.379700065,16.54517611,14.4386635,15.53666312,142.6012113,293.2410275,1367.551969,38.8471711
BHARTIHEXA,313087,INE343G01021,12-09-2025,1706.2,152900,245450497.4,-2.273898849,0.506597549,-4.355625315,26.03974293,17.72579866,32.15599706,,,1889.188852,42.2397708
BHEL,100103,INE257A01026,12-09-2025,228.72,7574797,1712744924,7.703899039,2.111701415,-9.792940248,18.30548803,-7.625201939,-14.01503759,261.3270142,516.4959569,-393.6121491,27.39298707
BIGBLOC,280524,INE412U01025,12-09-2025,57.74,64557,4463320.347,-5.251066623,11.23097669,-10.0763121,-6.311861107,-47.42784303,-58.40956566,-9.462955704,1128.510638,-3587.319131,6.621891908
BIKAJI,209232,INE00E101023,12-09-2025,776.25,206331,148089375.5,-2.974814074,8.278699958,4.02707049,15.37604043,-4.000742023,-11.58883827,,,10.48432708,30.02113249
BIL,126666,INE828A01016,12-09-2025,866.55,10874,7679252.026,1.499267936,-0.733146228,17.46644978,67.07799094,5.657501677,52.89810322,331.8714179,409.5854161,3405.204612,52.09956939
BILVYAPAR,100059,INE071A01013,12-09-2025,12.63,13174,,-4.894578313,11.7699115,,,,,,,1176.99115,37.60780978
BIOCON,132523,INE376G01013,12-09-2025,365.2,1189542,420132356.4,0.412427825,1.374045802,2.757456387,13.04751586,3.251342946,-3.02708444,20.36914964,-15.67767259,450.8958773,32.88546233
BIOFILCHEM,124396,INE829A01014,12-09-2025,44.27,8953,429351.0628,3.073341094,3.920187793,-11.70721978,2.548065786,-32.06997085,-33.13698837,-16.2346263,2.595596756,-2213.719329,15.55545168
BIRLACABLE,100060,INE800A01015,12-09-2025,164.67,23953,4063060.893,4.162186097,6.472261735,-8.333333333,26.14524284,-27.92804622,-38.79576287,7.838899804,202.9806808,-1512.461986,20.11625926
BIRLACORPN,100335,INE340A01012,12-09-2025,1270.2,93966,114641573.9,-0.77337708,-2.043649264,-6.355057505,27.46613146,-0.161131853,-2.386167147,14.03178023,112.6391563,494.0447244,33.16609196
BIRLAMONEY,190049,INE865C01022,12-09-2025,181.25,98983,17700876.93,1.814402876,6.580030577,-0.712133662,26.24503726,-24.78941035,20.86556415,194.9552482,335.6971154,-1.742846674,29.94160992
BIRLANU,109675,INE557A01011,12-09-2025,1929.3,8698,,-0.985373364,-1.324672668,-16.6465048,,,,,,-2686.105955,12.4831637
BLACKBUCK,313235,INE0UIZ01018,12-09-2025,624.65,319964,145506739.8,6.061635113,12.88515406,40.35501629,54.02539761,54.94232916,,,,5535.439966,65.95410318
BLAL,307744,INE0N7W01012,12-09-2025,227.84,129115,27186497.44,0.733928729,13.87445022,5.481481481,20.35921817,-8.358136916,-14.66666667,,,-120.3858208,29.16998481
BLBLIMITED,132290,INE791A01024,12-09-2025,15.36,92370,1492016.688,-1.853035144,-6.739526412,1.654533422,16.54021244,-32.3943662,-24.29768359,-31.27516779,164.8275862,-1259.464409,21.7616941
BLISSGVS,106197,INE416D01022,12-09-2025,152.48,217577,31390631.57,-2.193713919,-10.66322944,2.129939719,33.41499694,-13.21570859,20.56614217,79.38823529,0.613658858,877.9502104,35.66292008
BLKASHYAP,132719,INE350H01032,12-09-2025,67.81,668228,43840211.65,-1.367272727,-1.45327714,-1.582002903,43.45250688,-15.3538884,-34.74160331,175.6504065,810.2013423,-247.6922316,28.34201481
BLS,281585,INE153T01027,12-09-2025,368.9,478250,187174296.7,0.558811503,-2.342819325,-0.162381597,13.28113005,-21.5857158,-19.3220339,152.9310936,1280.355472,-898.4724056,24.10949849
BLSE,313049,INE0NLT01010,12-09-2025,190.39,119810,21576915.71,7.093036337,4.822991797,-8.40028867,26.03601218,-11.425913,-20.42547856,,,-472.8829215,26.87742921
BLUECOAST,131495,INE472B01011,12-09-2025,53.34,16595,602417.8608,-14.56030754,-28.46989406,63.97171841,14.53725574,400.3752345,486.1538462,714.351145,1112.272727,27985.5096,100
BLUEDART,126612,INE233B01017,12-09-2025,5701,8013,50894807.66,-0.078871265,-2.961702128,-9.450444727,0.011402809,-26.81596159,-30.3260657,-35.6568062,95.74584971,-1885.518804,17.68998824
BLUEJET,307329,INE0KBH01020,12-09-2025,716.95,2391468,1854816602,-3.603361345,-9.447426587,-24.82830931,-14.92732127,42.04061417,41.24310481,,,1607.070164,40.40493932
BLUESTARCO,100067,INE472A01039,12-09-2025,1884.9,132536,246576785.3,-3.015178801,7.352773664,14.59055262,-6.948386938,-12.60056106,3.756915201,237.0256135,521.8226804,-311.3577328,27.92794984
BLUESTONE,313424,INE304W01038,12-09-2025,642.1,803952,,6.263963591,,,,,,,,,
BLUSPRING,313353,INE0U4101014,12-09-2025,79.1,138048,,-1.812313803,-4.445518241,3.669724771,,,,,,907.9886778,35.85828298
BODALCHEM,124370,INE338D01028,12-09-2025,65.52,253086,17104268.96,0.583358919,-0.862460281,-10.44286495,5.916585839,-9.826589595,-18.01801802,-33.2790224,-3.57615894,-857.9563192,24.37300528
BOHRAIND,227291,INE802W01023,12-09-2025,25.17,48985,1338621.259,5.050083472,-24.64071856,-20.79924481,-26.46801052,54.70190535,92.57842387,319.5,1523.870968,3104.370494,50.1430173
BOMDYEING,100020,INE032A01023,12-09-2025,183.63,1273354,197642509.2,3.611126784,8.234115289,20.25540275,44.2271442,-16.24629418,-13.57368099,75.13590844,181.8572525,608.3971338,33.90981228
BORANA,313341,INE16SF01016,12-09-2025,220.56,44770,,2.672004469,0.998259914,-5.37154625,,,,,,-961.8083693,23.69757675
BOROLTD,299229,INE02PY01013,12-09-2025,350.4,53477,18636600.81,1.993887353,4.690767852,1.271676301,7.633236062,-19.54999426,-17.21204962,11.81133965,171.3853286,-950.5256322,23.77095693
BORORENEW,102219,INE666D01022,12-09-2025,569.2,360016,195357982.2,-1.428695125,-3.37803429,2.135295173,12.57911392,-3.221967185,11.30230739,-3.114893617,655.4080956,498.8080307,33.19707135
BOROSCI,313110,INE02L001032,12-09-2025,141.12,32885,4795950.227,-1.037868163,-3.875757782,0.085106383,17.95386158,-20.94117647,-29.24187726,,,-932.7528269,23.88654694
BOSCHLTD,100530,INE323A01026,12-09-2025,39885,24810,801919605.5,-2.505499878,3.168649767,26.27829666,51.20354382,9.276966492,16.91715107,128.1182886,209.854997,2614.781195,46.95884731
BPCL,100547,INE029A01011,12-09-2025,318,4705998,1407396677,1.76,-1.395348837,1.825168108,20.26776597,6.729316999,-7.638687191,101.5487135,60.32230609,682.6757765,34.39290255
BPL,100074,INE110A01019,12-09-2025,83.83,68255,5792999.031,-2.602532822,8.461637987,-11.79503367,13.9923851,-32.88230584,-27.78256375,9.653368215,353.1351351,-1900.626103,17.59173404
